Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,915MHZ Antenna,C496551
C1,C_0402,1,10nF,C15195
"C10, C7",C_0402,2,10pF,C32949
"C12, C17, C2, C20, C25, C27, C28, C29, C3, C31, C9",C_0402,11,100nF,C1525
"C15, C18, C26",C_0402,3,4.7uF,C23733
C21,C_0402,1,1uF,C52923
"C5, C6, C8",C_0402,3,10uF,C15525
"D1, D2",D_SOD-323F,2,PMEG3015EJ,C32798641
D3,D_0805,1,Green,C2297
D5,D_0805,1,Red,C84256
"J1, J2, J3",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,3,Connector,C5188434
P1,USB-C,1,USB_C_Plug,C136423
Q2,Q_SOT-23,1,AO3400A,C20917
"R1, R10, R2, R3, R4, R7, R8, R9",R_0402,8,5.1kΩ,C25905
"R5, R6",R_0603,2,75Ω,C4275
SW1,SW-SMD_MSK12CO2,1,SW_SPDT,C2681568
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,C131025
U3,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,C83291
U4,QFN24_3X3X0P9_IVS,1,MPU-6500,C50278
U5,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,~,C60420
U6,XCVR_L86-M33,1,L86-M33,
U7,COMM-SMD_LORA1276-C1-915MHZ,1,915MHz,C3001531
U9,SOT-223-3_TabPin2,1,AP7361C-33E,C500795
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
